 Txn ID ,CUSTOMER!!!, Payment Date/Time ,Txn Amt ₹,Shop Name!!!,City/Region,Mode of Payment,txn_status,curr,raw_notes_ignored
MSY-RAPID-000020,USER-MESSY-RAPID,2026-01-17 21:20:00,"₹3,000.00",Payee_With_Spaces      ,Unknown??,Credit Card,success,USD,rapid sequence
MSY-RAPID-000021,USER-MESSY-RAPID,17/01/2026 21:21,"Rs. 3,110",नमस्ते किराना,Delhi/NCR,Credit Card,success,INR,rapid sequence
MSY-RAPID-000022,USER-MESSY-RAPID,01/17/2026 09:22 PM,"INR 3,220.00",Ultra Long Merchant Name XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,東京-IP,Credit Card,success,INR,rapid sequence
MSY-RAPID-000023,USER-MESSY-RAPID,17-Jan-2026 21:23,$40.12,GiftCard Vault!!!,São Paulo,Credit Card,success,INR,rapid sequence
MSY-HIGH-000000,USER-MSY-HIGH-000,2026-01-18 05:20:00,"₹50,000.00",FlashCryptoX 🚩,Ahmedabad,Credit Card,success,INR,merchant concentration
MSY-HIGH-000001,USER-MSY-HIGH-001,18/01/2026 05:23,"Rs. 52,500",FlashCryptoX 🚩,Ahmedabad,Debit Card,manual_review,INR,merchant concentration
MSY-HIGH-000002,USER-MSY-HIGH-002,01/18/2026 05:26 AM,"INR 55,000.00",FlashCryptoX 🚩,Delhi/NCR,Net Banking,manual_review,INR,merchant concentration
MSY-HIGH-000003,USER-MSY-HIGH-003,18-Jan-2026 05:29,$692.77,FlashCryptoX 🚩,Bhopal,UPI,settled,USD,merchant concentration
MSY-HIGH-000004,USER-MSY-HIGH-004,2026-01-18T05:32:00," 60,000.00 ",FlashCryptoX 🚩,Mumbai-West,Debit Card,settled,USD,merchant concentration
MSY-HIGH-000005,USER-MSY-HIGH-005,2026-01-18 05:35:00,"₹62,500.00",FlashCryptoX 🚩,São Paulo,Net Banking,success,INR,merchant concentration
MSY-HIGH-000006,USER-MSY-HIGH-006,18/01/2026 05:38,"Rs. 65,000",FlashCryptoX 🚩,Delhi/NCR,Debit Card,success,USD,merchant concentration
MSY-HIGH-000007,USER-MSY-HIGH-007,01/18/2026 05:41 AM,"INR 67,500.00",FlashCryptoX 🚩,Bengaluru,Credit Card,settled,INR,merchant concentration
MSY-HIGH-000008,USER-MSY-HIGH-008,18-Jan-2026 05:44,$843.37,FlashCryptoX 🚩,Delhi/NCR,UPI,success,INR,merchant concentration
MSY-HIGH-000009,USER-MSY-HIGH-009,2026-01-18T05:47:00," 72,500.00 ",FlashCryptoX 🚩,Chennai,Net Banking,success,USD,merchant concentration
MSY-HIGH-000010,USER-MSY-HIGH-010,2026-01-18 05:50:00,"₹75,000.00",FlashCryptoX 🚩,Mumbai-West,Debit Card,success,USD,merchant concentration
MSY-HIGH-000011,USER-MSY-HIGH-011,18/01/2026 05:53,"Rs. 77,500",FlashCryptoX 🚩,Bhopal,Credit Card,success,INR,merchant concentration
MSY-HIGH-000012,USER-MSY-HIGH-012,01/18/2026 05:56 AM,"INR 80,000.00",FlashCryptoX 🚩,東京-IP,Net Banking,manual_review,USD,merchant concentration
MSY-HIGH-000013,USER-MSY-HIGH-013,18-Jan-2026 05:59,$993.98,FlashCryptoX 🚩,Jaipur,Wallet,manual_review,INR,merchant concentration
MSY-HIGH-000014,USER-MSY-HIGH-014,2026-01-18T06:02:00," 85,000.00 ",FlashCryptoX 🚩,Ahmedabad,UPI,manual_review,USD,merchant concentration
MSY-HIGH-000015,USER-MSY-HIGH-015,2026-01-18 06:05:00,"₹87,500.00",FlashCryptoX 🚩,Delhi/NCR,Debit Card,settled,INR,merchant concentration
MSY-HIGH-000016,USER-MSY-HIGH-016,18/01/2026 06:08,"Rs. 90,000",FlashCryptoX 🚩,Hyderabad,UPI,manual_review,INR,merchant concentration
MSY-HIGH-000017,USER-MSY-HIGH-017,01/18/2026 06:11 AM,"INR 92,500.00",FlashCryptoX 🚩,Pune,Net Banking,success,USD,merchant concentration
MSY-HIGH-000018,USER-MSY-HIGH-018,18-Jan-2026 06:14,"$1,144.58",FlashCryptoX 🚩,Pune,UPI,manual_review,INR,merchant concentration
MSY-HIGH-000019,USER-MSY-HIGH-019,2026-01-18T06:17:00," 97,500.00 ",FlashCryptoX 🚩,Mumbai-West,Net Banking,settled,INR,merchant concentration
MSY-HIGH-000020,USER-MSY-HIGH-020,2026-01-18 06:20:00,"₹100,000.00",FlashCryptoX 🚩,Ahmedabad,Net Banking,success,USD,merchant concentration
MSY-HIGH-000021,USER-MSY-HIGH-021,18/01/2026 06:23,"Rs. 102,500",FlashCryptoX 🚩,Bhopal,Debit Card,settled,USD,merchant concentration
MSY-HIGH-000022,USER-MSY-HIGH-022,01/18/2026 06:26 AM,"INR 105,000.00",FlashCryptoX 🚩,Hyderabad,Credit Card,settled,USD,merchant concentration
MSY-HIGH-000023,USER-MSY-HIGH-023,18-Jan-2026 06:29,"$1,295.18",FlashCryptoX 🚩,Bengaluru 😊,Wallet,settled,USD,merchant concentration
MSY-HIGH-000024,USER-MSY-HIGH-024,2026-01-18T06:32:00," 110,000.00 ",FlashCryptoX 🚩,Bengaluru 😊,Debit Card,manual_review,USD,merchant concentration
MSY-HIGH-000025,USER-MSY-HIGH-025,2026-01-18 06:35:00,"₹112,500.00",FlashCryptoX 🚩,São Paulo,Debit Card,settled,INR,merchant concentration
MSY-HIGH-000026,USER-MSY-HIGH-026,18/01/2026 06:38,"Rs. 115,000",FlashCryptoX 🚩,São Paulo,Net Banking,settled,INR,merchant concentration
MSY-HIGH-000027,USER-MSY-HIGH-027,01/18/2026 06:41 AM,"INR 117,500.00",FlashCryptoX 🚩,Pune,Debit Card,success,INR,merchant concentration
MSY-HIGH-000028,USER-MSY-HIGH-028,18-Jan-2026 06:44,"$1,445.78",FlashCryptoX 🚩,Bengaluru,Credit Card,settled,INR,merchant concentration
MSY-HIGH-000029,USER-MSY-HIGH-029,2026-01-18T06:47:00," 122,500.00 ",FlashCryptoX 🚩,Bengaluru,Wallet,success,USD,merchant concentration
MSY-HIGH-000030,USER-MSY-HIGH-030,2026-01-18 06:50:00,"₹125,000.00",FlashCryptoX 🚩,São Paulo,Credit Card,settled,INR,merchant concentration
MSY-HIGH-000031,USER-MSY-HIGH-031,18/01/2026 06:53,"Rs. 127,500",FlashCryptoX 🚩,Hyderabad,Net Banking,success,USD,merchant concentration
MSY-HIGH-000032,USER-MSY-HIGH-032,01/18/2026 06:56 AM,"INR 130,000.00",FlashCryptoX 🚩,Hyderabad,Credit Card,manual_review,INR,merchant concentration
MSY-HIGH-000033,USER-MSY-HIGH-033,18-Jan-2026 06:59,"$1,596.39",FlashCryptoX 🚩,São Paulo,UPI,settled,INR,merchant concentration
MSY-HIGH-000034,USER-MSY-HIGH-034,2026-01-18T07:02:00," 135,000.00 ",FlashCryptoX 🚩,São Paulo,Net Banking,settled,INR,merchant concentration
MSY-HIGH-000035,USER-MSY-HIGH-035,2026-01-18 07:05:00,"₹137,500.00",FlashCryptoX 🚩,Bengaluru 😊,Credit Card,manual_review,USD,merchant concentration
MSY-HIGH-000036,USER-MSY-HIGH-036,18/01/2026 07:08,"Rs. 140,000",FlashCryptoX 🚩,Delhi,Wallet,settled,USD,merchant concentration
MSY-HIGH-000037,USER-MSY-HIGH-037,01/18/2026 07:11 AM,"INR 142,500.00",FlashCryptoX 🚩,Bengaluru,Credit Card,success,INR,merchant concentration
MSY-HIGH-000038,USER-MSY-HIGH-038,18-Jan-2026 07:14,"$1,746.99",FlashCryptoX 🚩,Mumbai-West,Credit Card,manual_review,USD,merchant concentration
MSY-HIGH-000039,USER-MSY-HIGH-039,2026-01-18T07:17:00," 147,500.00 ",FlashCryptoX 🚩,Unknown??,Credit Card,settled,INR,merchant concentration
